111, 0 3 4 6 8;
112, 0 1 3 5 8;
113, 0 3 5 7 8;
114, 0 2 3 6 8;
115, 0 2 5 6 8;
116, 0 1 3 6 8;
117, 0 2 5 7 8;
118, 0 1 4 6 8;
119, 0 2 4 7 8;
120, 0 1 3 6 9;
121, 0 2 3 6 9;
122, 0 1 4 6 9;
123, 0 3 5 8 9;
124, 0 2 4 6 8;
125, 0 2 4 6 9;
126, 0 2 4 7 9;
127, 0 1 3 5 6;
128, 0 1 3 4 8;
129, 0 1 4 5 7;
130, 0 2 3 6 7;
131, 0 1 2 4 7;
132, 0 3 5 6 7;
133, 0 3 4 5 8;
134, 0 1 2 5 8;
135, 0 3 6 7 8;
136, 0 1 2 3 4 5;
137, 0 1 2 3 4 6;
138, 0 2 3 4 5 6;
139, 0 1 2 3 6 7;
140, 0 1 4 5 6 7;
141, 0 1 2 6 7 8;
142, 0 2 3 4 5 7;
143, 0 1 2 3 5 7;
144, 0 2 4 5 6 7;
145, 0 1 3 4 5 8;
146, 0 3 4 5 7 8;
147, 0 1 2 4 5 8;
148, 0 3 4 6 7 8;
149, 0 1 4 5 6 8;
150, 0 2 3 4 7 8;
151, 0 1 2 5 7 8;
152, 0 1 3 6 7 8;
153, 0 1 4 5 8 9;
154, 0 2 3 4 6 8;
155, 0 2 4 5 6 8;
156, 0 1 2 4 6 8;
157, 0 2 4 6 7 8;
158, 0 1 3 4 6 9;
159, 0 3 5 6 8 9;
160, 0 1 3 6 7 9;
161, 0 2 3 6 8 9;
162, 0 1 4 5 7 9;
163, 0 2 4 5 8 9;
164, 0 2 4 5 7 9;
165, 0 2 3 5 7 9;
166, 0 2 4 6 7 9;
167, 0 1 3 5 7 9;
168, 0 2 4 6 8 9;
169, 0 2 4 6 8 T;
170, 0 1 2 3 5 6;
171, 0 1 3 4 5 6;
172, 0 1 2 4 5 6;
173, 0 1 2 5 6 7;
174, 0 1 3 4 5 7;
175, 0 2 3 4 6 7;
176, 0 1 2 4 5 7;
177, 0 2 3 5 6 7;
178, 0 1 2 4 6 7;
179, 0 1 3 5 6 7;
180, 0 1 3 4 6 7;
181, 0 1 2 4 7 8;
182, 0 1 4 6 7 8;
183, 0 1 3 4 7 8;
184, 0 1 4 5 7 8;
185, 0 2 3 5 6 8;
186, 0 1 3 4 6 8;
187, 0 2 4 5 7 8;
188, 0 1 3 5 6 8;
189, 0 2 3 5 7 8;
190, 0 1 3 5 7 8;
191, 0 1 3 5 6 9;
192, 0 2 3 6 7 9;
193, 0 1 2 3 4 7;
194, 0 3 4 5 6 7;
195, 0 1 2 3 4 8;
196, 0 1 2 3 7 8;
197, 0 2 3 4 5 8;
198, 0 3 4 5 6 8;
199, 0 1 2 3 5 8;
200, 0 3 5 6 7 8;
201, 0 1 2 3 6 8;
202, 0 2 5 6 7 8;
203, 0 1 2 3 6 9;
204, 0 1 2 5 6 8;
205, 0 2 3 6 7 8;
206, 0 1 2 5 6 9;
207, 0 3 4 7 8 9;
